,dateRep,continentExp,cases,deaths
482,2/9/20,Amérique latine,0,0
483,2/9/20,Asie du Sud-Est,0,0
484,2/9/20,Europe,0,0
485,2/9/20,Méditerranée orientale,0,0
486,2/9/20,Other,0,0
487,2/9/20,Pacifique occidental,2618,89
488,3/1/20,Afrique,2,0
489,3/1/20,Amérique du Nord,9,1
490,3/1/20,Amérique latine,2,0
491,3/1/20,Asie du Sud-Est,0,1
492,3/1/20,Europe,411,8
493,3/1/20,Méditerranée orientale,218,9
494,3/1/20,Other,0,0
495,3/1/20,Pacifique occidental,1184,39
496,3/10/20,Afrique,5,0
497,3/10/20,Amérique du Nord,215,6
498,3/10/20,Amérique latine,16,0
499,3/10/20,Asie du Sud-Est,10,0
500,3/10/20,Europe,3649,136
501,3/10/20,Méditerranée orientale,676,43
502,3/10/20,Other,-9,1
503,3/10/20,Pacifique occidental,254,22
504,3/11/20,Afrique,3,0
505,3/11/20,Amérique du Nord,287,2
506,3/11/20,Amérique latine,38,1
507,3/11/20,Asie du Sud-Est,30,0
508,3/11/20,Europe,3456,184
509,3/11/20,Méditerranée orientale,931,55
510,3/11/20,Pacifique occidental,362,31
511,3/12/20,Afrique,7,0
512,3/12/20,Amérique du Nord,301,2
513,3/12/20,Amérique latine,61,0
514,3/12/20,Asie du Sud-Est,52,1
515,3/12/20,Europe,5898,240
516,3/12/20,Méditerranée orientale,1316,67
517,3/12/20,Pacifique occidental,263,21
518,3/13/20,Afrique,14,1
519,3/13/20,Amérique du Nord,391,10
520,3/13/20,Amérique latine,78,1
521,3/13/20,Asie du Sud-Est,3,1
522,3/13/20,Europe,7556,249
523,3/13/20,Méditerranée orientale,1148,76
524,3/13/20,Pacifique occidental,261,12
525,3/14/20,Afrique,25,1
526,3/14/20,Amérique du Nord,559,7
527,3/14/20,Amérique latine,94,2
528,3/14/20,Asie du Sud-Est,59,4
529,3/14/20,Europe,7873,317
530,3/14/20,Méditerranée orientale,1475,86
531,3/14/20,Pacifique occidental,319,26
532,3/15/20,Afrique,26,0
533,3/15/20,Amérique du Nord,860,10
534,3/15/20,Amérique latine,109,1
535,3/15/20,Asie du Sud-Est,39,0
536,3/15/20,Europe,9382,244
537,3/15/20,Méditerranée orientale,1441,99
538,3/15/20,Pacifique occidental,308,13
539,3/16/20,Afrique,56,2
540,3/16/20,Amérique du Nord,895,12
541,3/16/20,Amérique latine,179,1
542,3/16/20,Asie du Sud-Est,68,1
543,3/16/20,Europe,9400,599
544,3/16/20,Méditerranée orientale,1425,113
545,3/16/20,Pacifique occidental,432,23
546,3/17/20,Afrique,50,0
547,3/17/20,Amérique du Nord,1036,19
548,3/17/20,Amérique latine,253,0
549,3/17/20,Asie du Sud-Est,124,1
550,3/17/20,Europe,11014,437
551,3/17/20,Méditerranée orientale,1338,130
552,3/17/20,Pacifique occidental,386,19
553,3/18/20,Afrique,41,1
554,3/18/20,Amérique du Nord,1922,27
555,3/18/20,Amérique latine,268,1
556,3/18/20,Asie du Sud-Est,66,0
557,3/18/20,Europe,12965,617
558,3/18/20,Méditerranée orientale,1322,140
559,3/18/20,Pacifique occidental,422,25
560,3/19/20,Afrique,92,2
561,3/19/20,Amérique du Nord,3134,43
562,3/19/20,Amérique latine,411,6
563,3/19/20,Asie du Sud-Est,30,0
564,3/19/20,Europe,14460,743
565,3/19/20,Méditerranée orientale,1491,151
566,3/19/20,Pacifique occidental,596,18
567,3/2/20,Afrique,0,0
568,3/2/20,Amérique du Nord,25,1
569,3/2/20,Amérique latine,6,0
570,3/2/20,Asie du Sud-Est,3,0
571,3/2/20,Europe,729,7
572,3/2/20,Méditerranée orientale,407,11
573,3/2/20,Other,0,0
574,3/2/20,Pacifique occidental,917,48
575,3/20/20,Afrique,78,1
576,3/20/20,Amérique du Nord,5037,1
577,3/20/20,Amérique latine,571,5
578,3/20/20,Asie du Sud-Est,127,15
579,3/20/20,Europe,23255,884
580,3/20/20,Méditerranée orientale,1412,151
581,3/20/20,Pacifique occidental,614,18
582,3/21/20,Afrique,147,4
583,3/21/20,Amérique du Nord,5538,114
584,3/21/20,Amérique latine,844,15
585,3/21/20,Asie du Sud-Est,297,6
586,3/21/20,Europe,22938,1080
587,3/21/20,Méditerranée orientale,1466,155
588,3/21/20,Pacifique occidental,679,13
589,3/22/20,Afrique,156,10
590,3/22/20,Amérique du Nord,7502,86
591,3/22/20,Amérique latine,826,14
